"X","t","pval","FC","log2FC"
"HOXC11",16.4574897141404,1.36642488430521e-37,11.4764313668143,3.52060219597934
"KIR2DL1",-2.65711101897052,0.00876126572781576,2.00144026797614,1.00103855982712
"HIST1H3J",28.5022852302511,5.66421093747545e-108,19.8472493845045,4.31086717407908
"BZRAP1",-4.33749238708923,2.67190252610853e-05,0.822149189986928,-0.282527880877712
"PRPF40B",2.3911690560654,0.0180828973418033,1.15598666756871,0.209124758787184
"ZNF140",-3.52856566646129,0.000550243822833529,0.926059563457678,-0.110823105352808
"CCDC7",2.84737004754748,0.00501538416306935,1.40182976093277,0.487311158214054
"ACAP2",-6.9540704476702,1.06508783500758e-10,0.82116029109713,-0.284264230254247
"ACSL4",-21.3788956674459,1.10217003927012e-50,0.424797720634546,-1.2351520698895
"C4orf51",6.38277270372428,2.61927801158909e-10,31.6341779472234,4.98341220103336
"NINL",1.0886094633411,0.277886568620735,1.17502991649085,0.232697488554993
"KIAA1804",-1.88764463002754,0.0611444260418114,1.049965088641,0.070341359051559
"SYNM",-41.3852577203291,8.7904014726769e-105,0.110798737095949,-3.17398665750563
"DCAF7",11.2867608474063,5.79676325197299e-23,1.4398888219336,0.525957421225071
"VSIG2",-13.1656229829124,2.75041478714774e-27,0.525376670965551,-0.928575954997373
"CSF2RB",-4.50815050143199,1.23433931040281e-05,1.00956458469012,0.0137332068870453
"ABCA2",-1.84054153600029,0.0671304442212319,1.06216306834533,0.0870052725763919
"SH2D6",8.35580149534003,1.16690375423388e-14,3.36488775771993,1.75055838178015
"MOB3B",-34.4058919907553,1.15030916815132e-111,0.352195745970015,-1.50555061134297
"ATG5",-3.62470807598433,0.000328783932736259,1.05389578687029,0.0757322149839903
"RPL8",5.57267523903013,1.15220658672142e-07,1.41501984593722,0.500822287286429
"OSBPL3",1.16216079691852,0.246808873556889,1.25709749778814,0.330096546433585
"HBG2",-6.59532162887539,1.42855140442534e-09,0.034871373406224,-4.84181300411353
"ASXL3",-28.3488628985827,1.00692254165038e-73,0.338646886393483,-1.5621463635779
"RPRML",-3.88557748989139,0.000152071585548519,1.96051876105702,0.971235447697103
"NPAS3",-23.3798218730132,5.68060894855614e-60,0.418495174151179,-1.2567171083562
"HOXD1",-2.98463749439973,0.00330283238344221,1.00650449639854,0.00935361728398177
"RNPC3",-16.6994357551176,7.6508641229982e-35,0.522119058879848,-0.937549272632109
"ITPA",13.5050958975992,2.53387664727522e-27,1.78253900959046,0.833933649363072
"SLC25A45",1.4571331588442,0.146295749039458,1.16407779479761,0.219187476131383
"KCNIP3",-5.39114736384949,1.91682538899472e-07,1.10072006656204,0.138447611561035
"NDRG2",-36.3830868932354,1.26543171930687e-90,0.21107713346946,-2.24415779861377
"SYP",2.6048609657661,0.00960616433087046,3.37046044704261,1.75294569505345
"UCA1",2.0256633062794,0.0444413708679216,4.41635919346934,2.14285751486129
"RMRP",-0.257118906752466,0.797464004533341,1.43514609873487,0.521197611598776
"ZNF384",1.40722873382162,0.160857945872876,1.06353334758697,0.0888652703875127
"DAZ1",2.76561015056993,0.00577688489922902,Inf,Inf
"TCEAL3",8.99752640704121,9.39497873438302e-16,2.05258204566435,1.03743989045978
"TMPRSS15",-1.90378936575737,0.0586821196614252,1.58064221558588,0.660510845106459
"DOCK6",-10.2545414473121,1.86744772924559e-18,0.612416325048474,-0.707415353929868
"CUL4A",5.88104592760478,1.60391488882428e-08,1.17751022256871,0.235739584666224
"ROR1",-20.7991045383356,2.50804918529137e-54,0.437922146891435,-1.1912536823142
"FGD4",-25.649498011289,1.62837895876897e-60,0.409139116801062,-1.28933661848496
"NDP",-3.64407359558737,0.000331759039246306,3.69614495291198,1.88602133650143
"SPIC",5.59266670854992,7.39601414043919e-08,3.83348492199973,1.93865650539496
"CRYBB1",0.557910464885844,0.577886537699394,0.9603190108342,-0.0584143568695638
"SRBD1",-5.05071848908811,9.33146309587726e-07,0.94788517860966,-0.0772157850076139
"UBXN11",6.26323972340989,3.85336288222316e-09,1.55996628668498,0.641514850524725
"SLC25A44",24.7311993089258,1.0099923738877e-64,1.52944987354144,0.613012824530485
"PIKFYVE",-13.0550757514026,3.93885616298578e-26,0.600342487676719,-0.736142320323532
"CLIP4",-31.883341282624,2.52140588966671e-91,0.278547777368024,-1.84400329062478
"PID1",-25.3066410697575,7.53465705668584e-56,0.176315545668985,-2.50376841279419
"GON4L",5.95680359482117,1.34002584381377e-08,1.20543565526111,0.269554643629584
"GAS2L3",7.25164810718092,1.41171629278798e-11,2.19075535160129,1.13142838312388
"SERPINB1",-3.37709795799189,0.000854529171561271,0.991787477660826,-0.0118970849329114
"KDM1A",10.8681844647277,4.5703901895086e-21,1.33177706650145,0.413352601950765
"SCARA5",-41.7960771599527,1.69571189078423e-97,0.0298124216278322,-5.06794262126996
"ZNF449",-10.5657880728941,1.37582572740593e-19,0.718625128535168,-0.476688711204356
"UBR7",8.43367328668086,1.41395882695606e-15,1.238115455748,0.308145853864408
"CALHM2",-5.11462937923362,1.03831766563336e-06,0.807339768667446,-0.308752135869416
"GDF9",5.56112778883185,6.38524977223358e-08,10.0198274198893,3.32478575485621
"TM2D1",-1.9938056784005,0.0477257327441025,0.993900940935016,-0.00882602493418061
"ZNF250",5.37805176637991,2.67722300317005e-07,1.26075869032095,0.334292169724925
"SNPH",-2.61477694362804,0.00931110311037872,2.06952264651616,1.04929803587808
"FAM153A",-9.28174152111549,4.04504793014648e-16,0.540286426009175,-0.888203658295413
"OR4C6",2.267036460873,0.0247002117134189,1.92160352209922,0.942310700468435
"LILRB5",-13.1247114589714,2.76624623845251e-25,0.147335281502171,-2.76282514955557
"CDHR4",6.45371928989849,5.10540411634475e-10,12.4897610347564,3.6426739691695
"LRFN1",16.8093764400794,7.45702867068594e-40,2.94484035195166,1.55818942363443
"PRKD1",-33.1983028380436,5.98153402380042e-99,0.349950865085954,-1.51477572046697
"OR52I1",-2.83985290453402,0.00530888991102833,0.394158016566094,-1.34315397786042
"DNAJC27",-20.3166781793022,1.00920903039673e-45,0.572183192992182,-0.805450973568354
"HSPA5",20.1926148909902,1.36227429001505e-49,1.67787628522241,0.746636345529831
"DNAJC25-GNG10",3.32636632034835,0.00110774573978035,1.91673630105754,0.93865186891786
"RHBDF2",15.2651964828206,1.51862684107191e-33,1.9822247510032,0.987120549191889
"PLS3",-19.6463583127542,3.64473563280703e-50,0.542067056797349,-0.883456762634885
"OR1L3",-1.86644542593867,0.0642989617780706,0.615674241689347,-0.699760883918251
"CDKN2A",15.3910059377531,4.21876187812773e-34,7.00161999057636,2.80768876233934
"GABRB1",-4.16361265443753,5.26601877284683e-05,1.5962563482904,0.674692357518518
"TIAM2",-5.77887548924151,4.30498579687821e-08,0.848890810688636,-0.236349097067356
"IQCJ",-2.77906881731019,0.00616880414960529,1.2334282244142,0.302673764852038
"SHC1",8.82690460897848,3.24596601031349e-16,1.21645921411712,0.282687949888022
"DUSP19",-18.9131044897978,1.57946206469064e-44,0.583380476288452,-0.777490989818817
"SLC6A7",2.15724296716616,0.0326641391721287,1.49946555483927,0.584448381537542
"THUMPD3-AS1",-1.17691418609431,0.241099142054106,1.00625732876333,0.00899929068764087
"INTS1",6.28166849196741,3.53536315950581e-09,1.28753378353354,0.364610287594395
"KCNK4",-4.14645715239271,5.84133675254991e-05,0.879461565182079,-0.18530756543668
"POM121",-3.45655221634334,0.000661779215458321,0.977512520077597,-0.0328129141674374
"BDH1",7.70344588498672,2.53582651372232e-12,1.62042113022762,0.69636880294607
"BHLHE40",3.50920453907632,0.000604375585288624,1.30634998233123,0.385541459006647
"SLC35D1",2.02165557693446,0.0443794170707459,1.15184415392079,0.203945531384915
"DEFB109P1B",-0.321689491170807,0.748229900915293,0.78352213765229,-0.351954057675167
"ORAOV1",10.1318518405412,3.59466066139005e-21,1.65329004903779,0.725339849615214
"TENM3",-12.0987888570612,1.84865789175199e-24,0.494514988392164,-1.01591384619551
"CERS3",-9.84444151483443,9.52076802868168e-18,1.1655687429119,0.221034094242385
"SNORD26",NA,NA,NA,NA
"GNG10",-0.2821467956397,0.778277294843767,0.97629034399387,-0.0346178328084044
"BMPR1B",10.7701853263582,8.42521953788912e-22,18.7234643925013,4.22677549559172
"IRAK1",13.3749853027529,1.82485121996753e-28,1.78266545298361,0.834035982487712
"PLEKHA8",12.3837899698999,5.50079042116114e-27,1.65689550307408,0.728482617676635
"MAP3K8",-15.8851023630616,4.43123899796846e-34,0.454477463785871,-1.13771933774072
"WBP2NL",-10.4596153729111,1.09783391975658e-19,0.580962204269579,-0.783483785795449
"PTPRH",-7.66265450066048,1.131579903672e-12,1.15989298940718,0.213991709858876
"OSCAR",13.1534660054039,3.82676975774693e-26,2.45353392794999,1.29486122141501
