gene,drug_PRL
200961_at,13508
200962_at,15207
200963_x_at,1802
200964_at,15927
200965_s_at,15447
200966_x_at,942
200967_at,16706
200968_s_at,4826
200969_at,18415
200970_s_at,18153
200971_s_at,8017
200972_at,21591
200973_s_at,9081
200974_at,8798
200975_at,14610
200976_s_at,9569
200977_s_at,14853
200978_at,6849
200979_at,19032
200980_s_at,11364
200981_x_at,14758
200982_s_at,20140
200983_x_at,13780
200984_s_at,2017
200985_s_at,7378
200986_at,4079
200987_x_at,6840
200988_s_at,19845
200989_at,6050
200990_at,17790
200991_s_at,15222
200992_at,18914
200993_at,17980
200994_at,16780
200995_at,14963
200996_at,8578
200997_at,16177
200998_s_at,17082
200999_s_at,10715
201000_at,3291
201001_s_at,13881
201002_s_at,16758
201003_x_at,11496
201004_at,7562
201005_at,18501
201006_at,18089
201007_at,17245
201008_s_at,15811
201009_s_at,20241
201010_s_at,17054
201011_at,18140
201012_at,14790
201013_s_at,13042
201014_s_at,10381
201015_s_at,16666
201016_at,19011
201017_at,20712
201018_at,21449
201019_s_at,17982
201020_at,15072
201021_s_at,17806
201022_s_at,15216
201023_at,13424
201024_x_at,16548
201025_at,21779
201026_at,20904
201027_s_at,11286
201028_s_at,12669
201029_s_at,5004
201030_x_at,6589
201031_s_at,20729
201032_at,8371
201033_x_at,1817
201034_at,16685
201035_s_at,14572
201036_s_at,19152
201037_at,13524
201038_s_at,20756
201039_s_at,17187
201040_at,16810
201041_s_at,17608
201042_at,8127
201043_s_at,14035
201044_x_at,337
201045_s_at,14303
201046_s_at,14672
201047_x_at,14430
201048_x_at,4219
201049_s_at,2812
201050_at,22105
201051_at,3867
201052_s_at,12859
201053_s_at,20071
201054_at,15887
201055_s_at,18013
201056_at,18762
201057_s_at,19887
201058_s_at,1661
201059_at,12595
201060_x_at,19299
201061_s_at,17071
201062_at,18262
201063_at,15282
201064_s_at,20286
201065_s_at,10133
201066_at,5626
201067_at,16017
201068_s_at,8526
201069_at,6101
201070_x_at,3392
201071_x_at,10843
201072_s_at,20660
201073_s_at,110
201074_at,19165
201075_s_at,21562
201076_at,10266
201077_s_at,13013
201078_at,16053
201079_at,11749
201080_at,17148
201081_s_at,5511
201082_s_at,18093
201083_s_at,19907
201084_s_at,20874
201085_s_at,15237
201086_x_at,19387
201087_at,12181
201088_at,16582
201089_at,11142
201090_x_at,11404
201091_s_at,18998
201092_at,12298
201093_x_at,16064
201094_at,14941
201095_at,10990
201096_s_at,12507
201097_s_at,16970
201098_at,16919
201099_at,13000
201100_s_at,20680
201101_s_at,9581
201102_s_at,19664
201103_x_at,7494
201104_x_at,8626
201105_at,8855
201106_at,6847
201107_s_at,843
201108_s_at,9809
201109_s_at,20429
201110_s_at,21656
201111_at,16162
201112_s_at,13064
201113_at,8687
201114_x_at,13160
201115_at,20591
201116_s_at,9548
201117_s_at,18468
201118_at,14979
201119_s_at,5453
201120_s_at,9359
201121_s_at,14919
201122_x_at,9389
201123_s_at,2041
201124_at,11693
201125_s_at,10731
201126_s_at,21429
201127_s_at,8574
201128_s_at,15853
201129_at,17591
201130_s_at,15199
201131_s_at,14995
201132_at,19908
201133_s_at,18481
201134_x_at,9251
201135_at,9651
201136_at,14911
201137_s_at,4350
201138_s_at,17286
201139_s_at,12024
201140_s_at,14889
201141_at,7955
201142_at,11932
201143_s_at,21817
201144_s_at,14947
201145_at,6049
201146_at,15353
201147_s_at,7581
201148_s_at,9903
201149_s_at,15125
201150_s_at,5612
201151_s_at,19528
201152_s_at,16450
201153_s_at,19227
201154_x_at,4656
201155_s_at,13873
201156_s_at,14151
201157_s_at,19689
201158_at,3625
201159_s_at,11305
201160_s_at,15341
201161_s_at,16178
201162_at,1874
201163_s_at,4926
201164_s_at,14741
201165_s_at,6723
201166_s_at,11661
201167_x_at,9666
201168_x_at,17052
201169_s_at,19382
201170_s_at,8936
201171_at,18030
201172_x_at,13038
201173_x_at,10343
201174_s_at,10119
201175_at,3704
201176_s_at,11048
201177_s_at,20347
201178_at,17487
201179_s_at,17221
201180_s_at,11147
201181_at,19739
201182_s_at,12004
201183_s_at,19179
201184_s_at,20275
201185_at,22269
201186_at,10296
201187_s_at,14671
201188_s_at,21569
201189_s_at,16705
201190_s_at,18517
201191_at,20638
201192_s_at,21016
201193_at,13654
201194_at,12093
201195_s_at,4934
201196_s_at,15163
201197_at,22042
201198_s_at,17227
201199_s_at,17389
201200_at,17297
201201_at,12590
201202_at,12934
201203_s_at,20147
201204_s_at,20061
201205_at,6443
201206_s_at,3888
201207_at,17574
201208_s_at,12150
201209_at,17115
201210_at,20052
201211_s_at,14636
201212_at,21822
201213_at,15256
201214_s_at,17882
201215_at,15042
201216_at,6792
201217_x_at,3094
201218_at,19984
201219_at,14927
201220_x_at,5068
201221_s_at,13010
201222_s_at,14842
201223_s_at,15669
201224_s_at,16108
201225_s_at,20114
201226_at,10314
201227_s_at,12724
201228_s_at,18972
201229_s_at,18648
201230_s_at,18977
201231_s_at,11002
201232_s_at,9712
201233_at,14340
201234_at,11216
201235_s_at,11552
201236_s_at,10226
201237_at,21383
201238_s_at,19788
201239_s_at,2195
201240_s_at,4200
201241_at,12912
201242_s_at,14469
201243_s_at,11076
201244_s_at,20184
201245_s_at,12206
201246_s_at,8239
201247_at,8460
201248_s_at,8303
201249_at,16956
201250_s_at,11778
201251_at,17220
201252_at,8302
201253_s_at,6960
201254_x_at,16794
201255_x_at,21283
